First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Email,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance, Credit Max
Daniel,P,"January 4, 1954",93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,DanielP@disney.com,P*Daniel!987,1092,2092,3092,953.44,2992.45,-1254.62,9482.0
Federico,Marin,"May 31, 2004",53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,FedericoMarin@disney.com,Marin*Federico!987,1052,2052,3052,4066.5499999999997,2324.71,-1721.32,8840.0
Prince,Eric,"August 7, 2014",31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PrinceEric@disney.com,Eric*Prince!987,1030,2030,3030,1984.69,3887.06,-1147.04,3436.0
Daniel,D,"June 16, 1940",82,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,DanielD@disney.com,D*Daniel!987,1081,2081,3081,79.25,516.12,-1438.09,3327.0
Jafar,Aladdin,"July 2, 1930",18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,JafarAladdin@disney.com,Aladdin*Jafar!987,1017,2017,3017,968.0600000000002,1359.25,-1124.05,9544.0
Minnie,Mouse,"October 14, 1940",3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MinnieMouse@disney.com,Mouse*Minnie!987,1002,2002,3002,31.880000000000003,26.189999999999998,-440.11,7672.0
Laura,Blanco,"November 27, 1947",64,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,LauraBlanco@disney.com,Blanco*Laura!987,1063,2063,3063,5422.19,4980.68,-1728.0,8324.0
Yulianna,Torres,"June 4, 1953",75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,YuliannaTorres@disney.com,Torres*Yulianna!987,1074,2074,3074,4185.98,263.76,-1589.04,3662.0
Cruella,De Vil,"March 28, 1962",22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CruellaDe Vil@disney.com,De Vil*Cruella!987,1021,2021,3021,1479.21,3934.52,-1145.01,8983.0
Beast,Disney,"January 25, 1944",20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BeastDisney@disney.com,Disney*Beast!987,1019,2019,3019,940.4300000000001,2723.58,-1415.03,8133.0
Stitch,Disney,"March 4, 1987",36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,StitchDisney@disney.com,Disney*Stitch!987,1035,2035,3035,1339.24,727.62,-91.13,6113.0
Simba,King,"December 15, 1983",24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,SimbaKing@disney.com,King*Simba!987,1023,2023,3023,1202.03,756.92,-782.42,9184.0
Daniel,N,"April 11, 1942",91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,DanielN@disney.com,N*Daniel!987,1090,2090,3090,1016.8,2149.51,-716.7,4975.0
Chip,Disney,"October 28, 1965",6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ChipDisney@disney.com,Disney*Chip!987,1005,2005,3005,1032.72,4807.06,-1526.55,5881.0
Jose,Rodriguez Ortega,"March 6, 1989",59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,JoseRodriguez Ortega@disney.com,Rodriguez Ortega*Jose!987,1058,2058,3058,4393.7300000000005,1369.33,-1946.74,4464.0
Daniel,H,"July 11, 1982",86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,DanielH@disney.com,H*Daniel!987,1085,2085,3085,1615.38,2505.64,-366.29,5450.0
David,Baptiste,"June 9, 1946",48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,DavidBaptiste@disney.com,Baptiste*David!987,1047,2047,3047,5565.87,2516.98,-1982.26,4542.0
Dafne,Bencomo,"April 6, 1984",47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,DafneBencomo@disney.com,Bencomo*Dafne!987,1046,2046,3046,6008.099999999999,3443.4,-282.9,5986.0
Joseph,Medina - Sandoval,"August 27, 1955",60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,JosephMedina - Sandoval@disney.com,Medina - Sandoval*Joseph!987,1059,2059,3059,4760.2,1400.78,-38.33,9258.0
Daniel,Q,"October 1, 2001",94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,DanielQ@disney.com,Q*Daniel!987,1093,2093,3093,1427.95,2453.7,-731.09,5752.0
Daniel,V,"July 27, 1944",99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,DanielV@disney.com,V*Daniel!987,1098,2098,3098,841.92,3651.41,-1721.86,6221.0
Buzz,Lightyear,"January 25, 1931",17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BuzzLightyear@disney.com,Lightyear*Buzz!987,1016,2016,3016,1732.99,3580.2999999999997,-1205.03,3281.0
Scar,Lion,"December 20, 1957",23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ScarLion@disney.com,Lion*Scar!987,1022,2022,3022,1928.48,405.06,-1140.91,4650.0
Lilo,Disney,"August 22, 2013",35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,LiloDisney@disney.com,Disney*Lilo!987,1034,2034,3034,1448.11,2451.13,-1737.07,7428.0
Estevan,Ramos,"October 18, 1969",52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,EstevanRamos@disney.com,Ramos*Estevan!987,1051,2051,3051,4819.88,7.97,-1728.89,3289.0
Mulan,Disney,"October 1, 1970",34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MulanDisney@disney.com,Disney*Mulan!987,1033,2033,3033,787.34,254.44,-197.46,7946.0
Juan,Gutierrez,"September 3, 1971",61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,JuanGutierrez@disney.com,Gutierrez*Juan!987,1060,2060,3060,5337.3099999999995,3349.49,-1561.53,9494.0
Judith,Garcia,"June 21, 1971",63,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,JudithGarcia@disney.com,Garcia*Judith!987,1062,2062,3062,4622.47,1412.89,-764.0,6023.0
Simba,Disney,"September 13, 1987",12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,SimbaDisney@disney.com,Disney*Simba!987,1011,2011,3011,1433.97,4628.96,-1912.0,3789.0
Jasmine,Disney,"August 12, 1987",10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,JasmineDisney@disney.com,Disney*Jasmine!987,1009,2009,3009,1248.1999999999998,2562.87,-1163.2,5310.0
Cinderella,Disney,"April 24, 2019",8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CinderellaDisney@disney.com,Disney*Cinderella!987,1007,2007,3007,837.5400000000001,4322.91,-626.65,4870.0
Isaiah,Landin,"May 21, 2009",58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,IsaiahLandin@disney.com,Landin*Isaiah!987,1057,2057,3057,4432.85,2289.13,-648.02,8601.0
Pluto,Disney,"June 10, 1993",5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PlutoDisney@disney.com,Disney*Pluto!987,1004,2004,3004,330.7,4012.16,-313.08,6118.0
Manuel,Ruvalcaba,"December 25, 1993",68,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,ManuelRuvalcaba@disney.com,Ruvalcaba*Manuel!987,1067,2067,3067,4715.34,2131.08,-314.17,7474.0
Daniel,X,"June 29, 2003",101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,DanielX@disney.com,X*Daniel!987,1100,2100,3100,1244.07,534.43,-506.23,6226.0
Daniel,E,"February 23, 1991",83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,DanielE@disney.com,E*Daniel!987,1082,2082,3082,818.28,2738.27,-1854.01,9370.0
Gildardo,Orea,"September 17, 2017",55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,GildardoOrea@disney.com,Orea*Gildardo!987,1054,2054,3054,5025.05,3656.15,-1651.12,6218.0
Alfredo,Rodriguez,"May 13, 1965",40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,AlfredoRodriguez@disney.com,Rodriguez*Alfredo!987,1039,2039,3039,5850.240000000001,3080.82,-519.11,4559.0
Daniel,F,"March 13, 2005",84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,DanielF@disney.com,F*Daniel!987,1083,2083,3083,599.65,2848.19,-453.44,6273.0
Shere,Khan,"June 21, 1997",26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ShereKhan@disney.com,Khan*Shere!987,1025,2025,3025,1774.58,4054.58,-241.58,5698.0
Christopher,Reyes,"August 21, 1993",46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,ChristopherReyes@disney.com,Reyes*Christopher!987,1045,2045,3045,4759.86,597.8,-1926.88,6269.0
Brandon,Bustamante,"July 5, 2006",44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,BrandonBustamante@disney.com,Bustamante*Brandon!987,1043,2043,3043,5651.36,364.38,-1999.64,4685.0
Oscar,Decena,"July 23, 1928",71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,OscarDecena@disney.com,Decena*Oscar!987,1070,2070,3070,4284.5,1436.44,-1522.57,6832.0
Juan,Rabelo,"February 5, 1944",62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,JuanRabelo@disney.com,Rabelo*Juan!987,1061,2061,3061,5330.91,1657.81,-1936.56,8306.0
Goofy,Disney,"December 8, 1968",4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,GoofyDisney@disney.com,Disney*Goofy!987,1003,2003,3003,1672.9499999999998,3937.17,-208.05,4961.0
Daniel,O,"November 6, 1979",92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,DanielO@disney.com,O*Daniel!987,1091,2091,3091,140.53,1335.0,-602.69,8467.0
Ervey,Montes,"September 23, 1956",51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,ErveyMontes@disney.com,Montes*Ervey!987,1050,2050,3050,4299.14,3838.72,-430.1,7928.0
Roberto,Carrasco,"September 15, 1940",73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,RobertoCarrasco@disney.com,Carrasco*Roberto!987,1072,2072,3072,4159.05,1423.99,-1101.52,7847.0
Belle,Disney,"July 5, 1943",21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BelleDisney@disney.com,Disney*Belle!987,1020,2020,3020,581.63,1294.3799999999999,-1608.53,9463.0
Alex,Avila,"January 15, 2010",38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,AlexAvila@disney.com,Avila*Alex!987,1037,2037,3037,5511.860000000001,4690.72,-1811.46,7742.0
Gaston,Disney,"May 12, 1953",25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,GastonDisney@disney.com,Disney*Gaston!987,1024,2024,3024,1327.54,4212.92,-936.19,6665.0
Derek,Aguirre,"September 3, 1962",49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,DerekAguirre@disney.com,Aguirre*Derek!987,1048,2048,3048,4711.110000000001,328.0,-399.67,5092.0
Ariel,Disney,"August 6, 1946",9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ArielDisney@disney.com,Disney*Ariel!987,1008,2008,3008,273.95,3070.7000000000003,-1307.98,5176.0
Daniel,U,"September 23, 1986",98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,DanielU@disney.com,U*Daniel!987,1097,2097,3097,1875.61,284.66,-1963.67,4959.0
Daniel,R,"July 14, 1958",95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,DanielR@disney.com,R*Daniel!987,1094,2094,3094,46.94,3708.68,-1805.86,9724.0
Daniel,Y,"November 29, 1958",102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,DanielY@disney.com,Y*Daniel!987,1101,2101,3101,1724.81,3906.71,-1945.53,9499.0
Mickey,Mouse,"July 21, 1941",1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MickeyMouse@disney.com,Mouse*Mickey!987,1000,2000,3000,3036.2000000000003,3892.46,-1132.03,5122.0
Gavin,Baechle,"September 2, 1971",54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,GavinBaechle@disney.com,Baechle*Gavin!987,1053,2053,3053,5171.92,92.26,-157.78,6016.0
Alfonso,Beltran,"August 4, 1967",39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,AlfonsoBeltran@disney.com,Beltran*Alfonso!987,1038,2038,3038,5084.5,3888.01,-80.83,4511.0
Arae,Zarzosa,"May 3, 1975",43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,AraeZarzosa@disney.com,Zarzosa*Arae!987,1042,2042,3042,4335.17,2663.39,-11.67,7499.0
Daniel,C,"April 17, 1997",81,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,DanielC@disney.com,C*Daniel!987,1080,2080,3080,250.05,557.56,-1910.77,5016.0
Pinocchio,Disney,"April 2, 1983",30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PinocchioDisney@disney.com,Disney*Pinocchio!987,1029,2029,3029,487.35,2450.4,-1643.23,3516.0
Daniel,W,"February 4, 1989",100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,DanielW@disney.com,W*Daniel!987,1099,2099,3099,479.43,3165.21,-1249.36,8041.0
Alberto,Miranda,"November 17, 1930",37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,AlbertoMiranda@disney.com,Miranda*Alberto!987,1036,2036,3036,4377.43,4344.77,-589.8,5916.0
Quasimodo,Disney,"August 16, 1944",32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,QuasimodoDisney@disney.com,Disney*Quasimodo!987,1031,2031,3031,1429.65,4389.41,-755.12,4598.0
