Identification Number,Savings Account Number,Last Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Credit Max,Credit Starting Balance,Address,First Name
27,2026,Hook,12-May-01,1026,3026,(714) 781-4636,369.27,3295.28,9203,-1813.88,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin
87,2086,I,23-Dec-35,1086,3086,(915) 747-5050,1927.47,2348.02,7232,-1927.99,"500 W. University Ave, El Paso, TX 79968",Daniel
88,2087,J,20-Oct-43,1087,3087,(915) 747-5051,1924.71,2813.64,8702,-986.39,"500 W. University Ave, El Paso, TX 79968",Daniel
42,2041,Jasso,8-Dec-44,1041,3041,(915) 747-5005,661.74,547.41,3753,-530.31,"500 W. University Ave, El Paso, TX 79968",Anthony
89,2088,K,8-May-73,1088,3088,(915) 747-5052,1082.73,3471.09,6307,-88.26,"500 W. University Ave, El Paso, TX 79968",Daniel
26,2025,Khan,21-Nov-91,1025,3025,(714) 781-4636,688.77,1735.62,7035,-115.92,"1313 Disneyland Dr, Anaheim, CA 92802",Shere
24,2023,King,21-Dec-35,1023,3023,(714) 781-4636,1472.05,1684.46,8835,-1863.46,"1313 Disneyland Dr, Anaheim, CA 92802",Simba
90,2089,L,19-Jul-98,1089,3089,(915) 747-5053,585.99,180.84,9320,-777.42,"500 W. University Ave, El Paso, TX 79968",Daniel
65,2064,Labayen,11-Mar-10,1064,3064,(915) 747-5028,1079.13,4572.26,5079,-1064.52,"500 W. University Ave, El Paso, TX 79968",Laurence
58,2057,Landin,28-Feb-28,1057,3057,(915) 747-5021,1816.52,1600.38,6858,-407.11,"500 W. University Ave, El Paso, TX 79968",Isaiah
17,2016,Lightyear,12-Mar-63,1016,3016,(714) 781-4636,629.61,33.53,3624,-1215.99,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz
23,2022,Lion,29-Jul-29,1022,3022,(714) 781-4636,941.51,4326.32,4563,-140.99,"1313 Disneyland Dr, Anaheim, CA 92802",Scar
53,2052,Marin,18-Jan-09,1052,3052,(915) 747-5016,1917.27,2348.86,3977,-267.18,"500 W. University Ave, El Paso, TX 79968",Federico
60,2059,Medina - Sandoval,18-Sep-36,1059,3059,(915) 747-5023,903.51,3790.64,8612,-678.52,"500 W. University Ave, El Paso, TX 79968",Joseph
78,2077,Mejia,29-Jan-36,1077,3077,(915) 747-5041,1887.12,2051.62,7600,-1231.96,"500 W. University Ave, El Paso, TX 79968",Daniel
67,2066,Melendez Lujan,18-Mar-36,1066,3066,(915) 747-5030,1311.35,4334.35,7545,-1003.98,"500 W. University Ave, El Paso, TX 79968",Manuel
19,2018,Mermaid,30-Jun-00,1018,3018,(714) 781-4636,1333.17,1503.63,6570,-1147.68,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela
37,2036,Miranda,5-Oct-38,1036,3036,(915) 747-5000,474.59,3710.89,3649,-150.6,"500 W. University Ave, El Paso, TX 79968",Alberto
51,2050,Montes,5-Mar-59,1050,3050,(915) 747-5014,1584.85,1304.98,5439,-677.71,"500 W. University Ave, El Paso, TX 79968",Ervey
1,2000,Mouse,25-Apr-92,1000,3000,(714) 781-4636,403.12,4479.46,9151,-1653.84,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey
3,2002,Mouse,3-Nov-94,1002,3002,(714) 781-4636,1894.16,327.99,3442,-239.31,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie
91,2090,N,4-Mar-59,1090,3090,(915) 747-5054,364.34,2226.15,4837,-1623.03,"500 W. University Ave, El Paso, TX 79968",Daniel
56,2055,Navarrete,1-Aug-60,1055,3055,(915) 747-5019,1622.04,2738.6,9764,-305.52,"500 W. University Ave, El Paso, TX 79968",Grecia
92,2091,O,16-Sep-03,1091,3091,(915) 747-5055,1710.28,2761.08,7732,-0.1,"500 W. University Ave, El Paso, TX 79968",Daniel
55,2054,Orea,13-Mar-51,1054,3054,(915) 747-5018,291.85,179.25,4072,-1514.01,"500 W. University Ave, El Paso, TX 79968",Gildardo
69,2068,Ornelas-Gutierrez,7-Aug-36,1068,3068,(915) 747-5032,192.14,1218.43,6395,-1129.63,"500 W. University Ave, El Paso, TX 79968",Mauricio
93,2092,P,16-Feb-03,1092,3092,(915) 747-5056,1069.19,3519.67,7626,-1963.63,"500 W. University Ave, El Paso, TX 79968",Daniel
15,2014,Pan,29-May-87,1014,3014,(714) 781-4636,41.62,2252.52,5699,-1137.78,"1313 Disneyland Dr, Anaheim, CA 92802",Peter
94,2093,Q,7-Feb-71,1093,3093,(915) 747-5057,498.13,205.32,4002,-673.84,"500 W. University Ave, El Paso, TX 79968",Daniel
29,2028,Queen,19-Dec-42,1028,3028,(714) 781-4636,238.09,4844.83,7647,-367.09,"1313 Disneyland Dr, Anaheim, CA 92802",Evil
95,2094,R,20-Apr-94,1094,3094,(915) 747-5058,745.03,1288.97,9008,-1040.57,"500 W. University Ave, El Paso, TX 79968",Daniel
62,2061,Rabelo,29-Apr-52,1061,3061,(915) 747-5025,1851.26,3607.48,3109,-674.27,"500 W. University Ave, El Paso, TX 79968",Juan
77,2076,Rahad,15-Jun-57,1076,3076,(915) 747-5040,220.57,1902.09,4822,-157.39,"500 W. University Ave, El Paso, TX 79968",Khandoker
52,2051,Ramos,15-Dec-36,1051,3051,(915) 747-5015,760.91,2939.07,6176,-860.87,"500 W. University Ave, El Paso, TX 79968",Estevan
46,2045,Reyes,4-May-89,1045,3045,(915) 747-5009,1330.23,4039.37,9283,-444.4,"500 W. University Ave, El Paso, TX 79968",Christopher
40,2039,Rodriguez,14-Feb-02,1039,3039,(915) 747-5003,1772.98,3443.94,4766,-1734.35,"500 W. University Ave, El Paso, TX 79968",Alfredo
59,2058,Rodriguez Ortega,8-Sep-52,1058,3058,(915) 747-5022,398.46,789.31,8718,-405.22,"500 W. University Ave, El Paso, TX 79968",Jose
68,2067,Ruvalcaba,30-Dec-42,1067,3067,(915) 747-5031,870.6,1038.13,5787,-326.57,"500 W. University Ave, El Paso, TX 79968",Manuel
96,2095,S,8-Jan-91,1095,3095,(915) 747-5059,1197.47,2944.12,7282,-718.69,"500 W. University Ave, El Paso, TX 79968",Daniel
97,2096,T,22-Oct-92,1096,3096,(915) 747-5060,894.63,4884.23,5066,-828.59,"500 W. University Ave, El Paso, TX 79968",Daniel
75,2074,Torres,20-Aug-92,1074,3074,(915) 747-5038,1035.19,3391.57,5431,-1545.62,"500 W. University Ave, El Paso, TX 79968",Yulianna
98,2097,U,27-May-88,1097,3097,(915) 747-5061,417.42,840.66,6171,-978.33,"500 W. University Ave, El Paso, TX 79968",Daniel
99,2098,V,25-Aug-06,1098,3098,(915) 747-5062,1187.71,2405.55,8400,-1052.86,"500 W. University Ave, El Paso, TX 79968",Daniel
100,2099,W,14-Jun-96,1099,3099,(915) 747-5063,1239.64,261.75,7958,-470.23,"500 W. University Ave, El Paso, TX 79968",Daniel
101,2100,X,25-Nov-84,1100,3100,(915) 747-5064,122.74,4668.29,5540,-817.67,"500 W. University Ave, El Paso, TX 79968",Daniel
102,2101,Y,12-Mar-84,1101,3101,(915) 747-5065,738.93,3810.87,6534,-199.91,"500 W. University Ave, El Paso, TX 79968",Daniel
103,2102,Z,9-Aug-56,1102,3102,(915) 747-5066,1825.29,4635,5697,-649.08,"500 W. University Ave, El Paso, TX 79968",Daniel
43,2042,Zarzosa,20-Sep-14,1042,3042,(915) 747-5006,1994.56,4248.79,8629,-268.92,"500 W. University Ave, El Paso, TX 79968",Arae
